year,sex,geo,region_name,var1,lci1,uci1,n,crude_rate
2013,0,hrr19,ZH.C2,101.277,86.6321,117.9713,171,103.1363
2013,0,hrr19,LU.C1,122.376,113.8964,131.3935,782,111.4389
2013,0,hrr19,AG.C2,132.3285,116.5672,150.0218,258,122.6032
2013,0,hrr19,BE.C1,137.6564,130.4118,145.2243,1362,140.1165
2013,0,hrr19,ZH.C4,145.9997,132.3779,160.833,424,137.1494
2013,0,hrr19,ZH.C3,147.6878,135.0732,161.2111,510,129.6789
2013,0,hrr19,GR.C1,153.1673,138.6341,168.9374,410,152.3308
2013,0,hrr19,GE.C1,153.4473,141.5483,166.111,620,131.8378
2013,0,hrr19,TG.C1,154.3902,138.1754,172.2341,337,138.2859
2013,0,hrr19,AG.C1,161.763,151.3261,172.8121,908,150.9306
2013,0,hrr19,CH,164.4258,161.5439,167.3489,12509,153.6802
2013,0,hrr19,VS.C1,165.1925,147.3477,184.8746,313,161.5701
2013,0,hrr19,ZH.C1,167.4103,157.5248,177.8054,1082,145.7883
2013,0,hrr19,NE.C1,167.4349,148.191,188.5713,277,156.9636
2013,0,hrr19,FR.C1,170.6467,154.351,188.4326,410,142.4729
2013,0,hrr19,VD.C1,181.6798,171.4734,192.364,1198,155.4937
2013,0,hrr19,SG.C1,198.6317,186.0348,211.9094,934,183.286
2013,0,hrr19,BE.C2,198.8898,179.8695,219.443,403,197.8594
2013,0,hrr19,BS.C1,216.2903,204.496,228.635,1266,224.5624
2013,0,hrr19,TI.C1,224.0196,209.128,239.7703,844,237.8537
2013,0,kt,ZG,107.5442,88.5063,130.4282,113,95.667
2013,0,kt,LU,111.8324,100.9818,123.6392,393,100.6791
2013,0,kt,SH,122.9047,99.9243,149.9976,100,126.9309
2013,0,kt,NW,135.5424,103.5332,176.9791,61,145.6264
2013,0,kt,OW,139.1322,102.5528,185.7232,49,134.2208
2013,0,kt,SO,140.8245,126.5489,156.3879,359,137.318
2013,0,kt,BE,151.1463,143.6661,158.937,1542,154.0027
2013,0,kt,TG,153.0504,137.4971,170.0999,360,138.3136
2013,0,kt,GE,153.6485,141.7339,166.3286,620,132.0742
2013,0,kt,AI,153.8191,97.2208,236.7703,23,145.7726
2013,0,kt,ZH,154.0061,147.2198,161.0471,1954,137.0711
2013,0,kt,UR,154.0709,115.5978,201.8427,54,150.5646
2013,0,kt,AG,154.6263,144.6753,165.2083,913,143.4718
2013,0,kt,SZ,157.2131,136.5658,180.8355,213,140.6906
2013,0,kt,GR,159.1357,141.9778,177.9841,315,161.5724
2013,0,kt,GL,159.3919,121.936,205.3411,62,156.5933
2013,0,kt,VS,164.0733,150.28,178.9723,524,160.2393
2013,0,kt,CH,164.4258,161.5439,167.3489,12509,153.6802
2013,0,kt,NE,167.4983,148.2469,188.6426,277,157.0277
2013,0,kt,FR,168.3333,152.43,185.7022,420,141.1186
2013,0,kt,AR,174.45,139.7387,215.5144,88,163.9008
2013,0,kt,BL,175.4075,160.64,191.3068,521,186.9689
2013,0,kt,VD,176.5968,166.3799,187.3073,1129,150.6593
2013,0,kt,SG,193.1267,180.4852,206.5001,875,177.9544
2013,0,kt,JU,219.7614,186.4801,257.5748,156,217.458
2013,0,kt,TI,223.0968,208.0636,239.0087,821,236.9142
2013,0,kt,BS,298.1372,273.8335,324.2709,567,299.4692
2014,0,hrr19,ZH.C2,107.7374,92.7971,124.6495,187,111.8033
2014,0,hrr19,AG.C2,114.1406,99.7238,130.4952,228,107.0191
2014,0,hrr19,LU.C1,124.1278,115.6902,133.0921,813,114.6527
2014,0,hrr19,BE.C1,138.7008,131.4845,146.2354,1392,142.1615
2014,0,hrr19,TG.C1,143.0411,127.791,159.8425,327,132.2858
2014,0,hrr19,ZH.C4,144.7806,131.254,159.4666,423,135.5048
2014,0,hrr19,BE.C2,144.9263,128.9026,162.4554,299,145.2486
2014,0,hrr19,GE.C1,152.2914,140.5635,164.7684,630,131.722
2014,0,hrr19,GR.C1,153.2898,138.9438,168.8456,421,155.6613
2014,0,hrr19,ZH.C1,157.3314,147.8445,167.31,1036,137.2004
2014,0,hrr19,ZH.C3,159.2612,146.2599,173.1853,559,140.375
2014,0,hrr19,CH,160.7057,157.8848,163.5668,12463,151.2929
2014,0,hrr19,AG.C1,164.3357,153.8711,175.4075,932,152.8262
2014,0,hrr19,NE.C1,167.9158,148.6224,189.1077,277,156.1434
2014,0,hrr19,SG.C1,173.8931,162.1592,186.3007,822,159.9689
2014,0,hrr19,FR.C1,177.6492,161.1313,195.6016,433,147.332
2014,0,hrr19,VS.C1,180.0197,161.6542,200.1348,352,178.751
2014,0,hrr19,VD.C1,187.5938,177.3675,198.2873,1273,162.6473
2014,0,hrr19,BS.C1,206.2844,194.8433,218.2672,1223,215.1124
2014,0,hrr19,TI.C1,216.2972,201.8526,231.5825,836,233.0632
2014,0,kt,ZG,98.8846,81.06,120.4938,109,90.766
2014,0,kt,OW,113.8728,80.6348,157.4081,39,105.8804
2014,0,kt,NW,113.9478,83.7072,153.3193,48,114.0684
2014,0,kt,LU,120.0949,108.9331,132.2056,429,108.7166
2014,0,kt,AI,129.0446,78.4976,206.3746,20,126.1511
2014,0,kt,GL,129.1644,96.29,170.6691,52,130.673
2014,0,kt,SH,136.3401,112.294,164.4102,113,142.2869
2014,0,kt,SO,137.341,123.3307,152.661,354,134.2338
2014,0,kt,GR,142.4351,126.4353,160.094,289,147.5348
2014,0,kt,BE,146.2031,138.903,153.8099,1513,149.8884
2014,0,kt,AG,148.854,139.1832,159.142,894,138.5452
2014,0,kt,ZH,150.2245,143.5762,157.1225,1936,133.8538
2014,0,kt,TG,150.7201,135.546,167.3292,367,139.1559
2014,0,kt,GE,152.4967,140.7532,164.9902,630,131.969
2014,0,kt,BL,159.943,146.0169,175.02,487,173.1242
2014,0,kt,FR,160.0762,144.6618,176.9111,404,133.1676
2014,0,kt,CH,160.7057,157.8848,163.5668,12463,151.2929
2014,0,kt,VS,164.6547,150.9753,179.401,537,161.8625
2014,0,kt,UR,165.0666,125.8813,213.1703,60,166.6296
