"GEO_ID","LDEN_Cat","ANTALL_PER","average_cat","totpop","prop_pop_exp"
"Stavanger","43 - 44",2.528,43.5,263691,9.59e-06
"Stavanger","44 - 45",2.528,44.5,263691,9.59e-06
"Stavanger","45 - 46",4.1944,45.5,263691,1.59e-05
"Stavanger","46 - 47",15.168,46.5,263691,5.75e-05
"Stavanger","47 - 48",0,47.5,263691,0
"Stavanger","48 - 49",12.8166,48.5,263691,4.86e-05
"Stavanger","49 - 50",2.7643,49.5,263691,1.05e-05
"Stavanger","50 - 51",20.5772,50.5,263691,7.8e-05
"Stavanger","51 - 52",20.2967,51.5,263691,7.7e-05
"Stavanger","52 - 53",37.303,52.5,263691,0.000141465
"Stavanger","53 - 54",3687.9948,53.5,263691,0.013986047
"Stavanger","54 - 55",6852.5722,54.5,263691,0.02598713
"Stavanger","55 - 56",6597.141,55.5,263691,0.025018453
"Stavanger","56 - 57",6666.0558,56.5,263691,0.0252798
"Stavanger","57 - 58",6752.92,57.5,263691,0.025609217
"Stavanger","58 - 59",5973.6073,58.5,263691,0.022653816
"Stavanger","59 - 60",5313.4668,59.5,263691,0.020150353
"Stavanger","60 - 61",5700.019,60.5,263691,0.021616282
"Stavanger","61 - 62",5210.2711,61.5,263691,0.019759002
"Stavanger","62 - 63",4761.9161,62.5,263691,0.018058698
"Stavanger","63 - 64",4380.2412,63.5,263691,0.016611265
"Stavanger","64 - 65",3986.9132,64.5,263691,0.015119641
"Stavanger","65 - 66",3612.4587,65.5,263691,0.01369959
"Stavanger","66 - 67",3560.6893,66.5,263691,0.013503264
"Stavanger","67 - 68",3043.4497,67.5,263691,0.011541728
"Stavanger","68 - 69",1664.0754,68.5,263691,0.006310702
"Stavanger","69 - 70",1537.0125,69.5,263691,0.005828839
"Stavanger","70 - 71",1346.0741,70.5,263691,0.00510474
"Stavanger","71 - 72",893.3408,71.5,263691,0.003387832
"Stavanger","72 - 73",966.2991,72.5,263691,0.003664513
"Stavanger","73 - 74",558.8057,73.5,263691,0.002119169
"Stavanger","74 - 75",250.0659,74.5,263691,0.000948329
"Stavanger","75 - 76",207.8185,75.5,263691,0.000788114
"Stavanger","76 - 77",177.1394,76.5,263691,0.000671769
"Stavanger","77 - 78",145.7708,77.5,263691,0.000552809
"Stavanger","78 - 79",45.9986,78.5,263691,0.000174441
"Stavanger","79 - 80",83.5514,79.5,263691,0.000316853
"Stavanger","80 - 81",55.9924,80.5,263691,0.000212341
"Stavanger","81 - 82",10.112,81.5,263691,3.83e-05
"Stavanger","82 - 83",7.584,82.5,263691,2.88e-05
"Stavanger","83 - 84",2.528,83.5,263691,9.59e-06
"Bergen","39 - 40",30.83,39.5,269189,0.000114529
"Bergen","40 - 41",2.72,40.5,269189,1.01044e-05
"Bergen","41 - 42",0,41.5,269189,0
"Bergen","42 - 43",0,42.5,269189,0
"Bergen","43 - 44",0,43.5,269189,0
"Bergen","44 - 45",0,44.5,269189,0
"Bergen","45 - 46",0,45.5,269189,0
"Bergen","46 - 47",0,46.5,269189,0
"Bergen","47 - 48",0,47.5,269189,0
"Bergen","48 - 49",18.2,48.5,269189,6.76105e-05
"Bergen","49 - 50",5.44,49.5,269189,2.02088e-05
"Bergen","50 - 51",10.88,50.5,269189,4.04177e-05
"Bergen","51 - 52",7.27,51.5,269189,2.7007e-05
"Bergen","52 - 53",13.55,52.5,269189,5.03364e-05
"Bergen","53 - 54",2178.78,53.5,269189,0.008093867
"Bergen","54 - 55",8567.73,54.5,269189,0.031827935
"Bergen","55 - 56",8577.67,55.5,269189,0.031864861
"Bergen","56 - 57",8124.82,56.5,269189,0.030182585
"Bergen","57 - 58",7759.7,57.5,269189,0.028826215
"Bergen","58 - 59",6673.03,58.5,269189,0.024789386
"Bergen","59 - 60",6571.73,59.5,269189,0.02441307
"Bergen","60 - 61",6606.08,60.5,269189,0.024540676
"Bergen","61 - 62",6239.76,61.5,269189,0.023179848
"Bergen","62 - 63",5290.75,62.5,269189,0.019654406
"Bergen","63 - 64",5135.62,63.5,269189,0.01907812
"Bergen","64 - 65",4779.43,64.5,269189,0.017754923
"Bergen","65 - 66",4522.4,65.5,269189,0.016800092
"Bergen","66 - 67",4738.68,66.5,269189,0.017603542
"Bergen","67 - 68",4968.39,67.5,269189,0.018456883
"Bergen","68 - 69",3305.04,68.5,269189,0.012277768
"Bergen","69 - 70",2932.15,69.5,269189,0.010892533
"Bergen","70 - 71",2792.21,70.5,269189,0.010372675
"Bergen","71 - 72",2620.14,71.5,269189,0.009733459
"Bergen","72 - 73",2170.35,72.5,269189,0.008062551
"Bergen","73 - 74",1408.13,73.5,269189,0.005231009
"Bergen","74 - 75",675.62,74.5,269189,0.002509835
"Bergen","75 - 76",831.03,75.5,269189,0.003087162
"Bergen","76 - 77",124.89,76.5,269189,0.000463949
"Bergen","77 - 78",664.75,77.5,269189,0.002469455
"Bergen","78 - 79",274.2,78.5,269189,0.001018615
"Bergen","79 - 80",365.19,79.5,269189,0.00135663
"Bergen","80 - 81",26.33,80.5,269189,9.78123e-05
"Bergen","81 - 82",24.54,81.5,269189,9.11627e-05
"Bergen","82 - 83",4.91,82.5,269189,1.824e-05
