reg_no,popchange,popchange_z,region,noheating,noheating_z,country,edu,edu_z,unemployed,unemployed_z,single_parent_hh,single_parent_hh_z,edu_z_rev,popchange_z_rev,cs,rank,geo_level,geo_level_no
1000,,,Belgique,9.5570364,-0.025684185,Belgium,44.451481,-0.16490966,6.7189932,0.41127551,14.12126,0.28231853,0.16490966,,0.83281952,7,LAU,LAU
2000,,,Région flamande,8.8086834,-0.15432255,Belgium,46.922306,0.28267926,4.3768811,-0.41188228,11.238938,-0.49407077,-0.28267926,,-1.3429549,1,NUTS1,NUTS1
3000,,,Région wallonne,12.669686,0.50936574,Belgium,42.229107,-0.56749177,9.2124214,1.2876148,17.686619,1.2426926,0.56749177,,3.6071649,2,NUTS1,NUTS1
4000,,,Région de Bruxelles-Capitale,4.3482146,-0.92105621,Belgium,37.528416,-1.4190199,11.630495,2.13747,20.166815,1.9107643,1.4190199,,4.5461979,3,NUTS1,NUTS1
10000,,,Province d’Anvers,7.3254213,-0.40928835,Belgium,46.746578,0.25084624,5.4499578,-0.034739155,11.611008,-0.39384922,-0.25084624,,-1.0887229,3,NUTS2,NUTS2
11000,,,Arrondissement d’Anvers,7.5232258,-0.3752867,Belgium,45.912437,0.099741988,6.4665799,0.32256243,12.591738,-0.12967733,-0.099741988,,-0.28214359,4,NUTS3,NUTS3
11001,1.638306849,-0.043275129,Aartselaar,2.4151528,-1.2533405,Belgium,55.730259,1.8782362,3.6817551,-0.65619099,10.388239,-0.72321731,-1.8782362,0.043275129,-4.46771,1,LAU,LAU
11002,1.712378771,-0.004471097,Anvers,8.8811769,-0.14186126,Belgium,40.218582,-0.93169743,8.8436832,1.1580182,14.664978,0.42877585,0.93169743,0.004471097,2.3811014,8,LAU,LAU
11004,4.795475674,1.6106699,Boechout,4.5584908,-0.8849107,Belgium,56.333492,1.9875116,3.6236572,-0.67661005,10.750898,-0.62553042,-1.9875116,-1.6106699,-5.7852325,1,LAU,LAU
11005,5.683606926,2.0759349,Boom,14.31027,0.79137444,Belgium,41.339928,-0.72856617,5.9042654,0.1249316,12.877903,-0.05259515,0.72856617,-2.0759349,-0.48365784,6,LAU,LAU
11007,4.68764767,1.5541821,Borsbeek,5.4095826,-0.73861206,Belgium,48.976192,0.65473992,6.5500793,0.3519091,13.342851,0.072644323,-0.65473992,-1.5541821,-2.5229807,3,LAU,LAU
11008,1.108700254,-0.32071996,Brasschaat,3.8292229,-1.0102684,Belgium,54.35379,1.6288894,4.1501317,-0.49157554,12.749128,-0.087282211,-1.6288894,0.32071996,-2.8972957,2,LAU,LAU
11009,3.55381088,0.96019936,Brecht,5.6348534,-0.69988906,Belgium,48.652828,0.59616262,3.4136999,-0.75040156,8.5880356,-1.2081245,-0.59616262,-0.96019936,-4.214777,1,LAU,LAU
11013,1.873139455,0.079746552,Edegem,3.4943194,-1.0678368,Belgium,58.775589,2.4298964,4.4016848,-0.4031648,11.507355,-0.42176944,-2.4298964,-0.079746552,-4.4024138,1,LAU,LAU
11016,2.149851,0.22470734,Essen,5.0462089,-0.80107427,Belgium,43.016571,-0.42484295,3.8869894,-0.58405942,9.3108635,-1.0134218,0.42484295,-0.22470734,-2.1984198,3,LAU,LAU
11018,4.353244903,1.3789985,Hemiksem,14.661977,0.85183114,Belgium,44.019001,-0.2432532,4.8443923,-0.24757098,11.531191,-0.41534889,0.2432532,-1.3789985,-0.94683403,5,LAU,LAU
11021,1.656035329,-0.033987716,Hove,4.5891662,-0.87963778,Belgium,60.986931,2.8304799,3.0015798,-0.89524513,10.348176,-0.73400873,-2.8304799,0.033987716,-5.3053837,1,LAU,LAU
