"Bin","Population_100","Population_all"
"1.2-1.3",NA,NA
"1.3-1.4",NA,NA
"1.4-1.5",NA,NA
"1.5-1.6",NA,NA
"1.6-1.7",NA,NA
"1.7-1.8",NA,NA
"1.8-1.9",NA,NA
"1.9-2",NA,NA
"2-2.1",NA,NA
"2.1-2.2",NA,NA
"2.2-2.3",NA,NA
"2.3-2.4",NA,NA
"2.4-2.5",NA,NA
"2.5-2.6",NA,NA
"2.6-2.7",NA,NA
"2.7-2.8",NA,NA
"2.8-2.9",NA,NA
"2.9-3",0,0
"3-3.1",2,2
"3.1-3.2",3,3
"3.2-3.3",24,24
"3.3-3.4",74,74
"3.4-3.5",135,135
"3.5-3.6",95,95
"3.6-3.7",105,105
"3.7-3.8",122,122
"3.8-3.9",106,106
"3.9-4",316,316
"4-4.1",205,211.09
"4.1-4.2",89,89
"4.2-4.3",149,149
"4.3-4.4",321,322.86
"4.4-4.5",458,462.86
"4.5-4.6",174,174
"4.6-4.7",1533,1543.5
"4.7-4.8",1946,1959.18
"4.8-4.9",1606,1753.54
"4.9-5",2560,2564.98
"5-5.1",1939,2057.26
"5.1-5.2",4833,4833
"5.2-5.3",4647,4708.07
"5.3-5.4",9361,9361
"5.4-5.5",9805,9827.44
"5.5-5.6",13291,13547.33
"5.6-5.7",23144,23207.65
"5.7-5.8",17936,18133.79
"5.8-5.9",29677,29689.82
"5.9-6",26071,26357.78
"6-6.1",30166,30406.66
"6.1-6.2",24160,24628.46
"6.2-6.3",23777,24008.61
"6.3-6.4",25642,26332.29
"6.4-6.5",21067,22022.32
"6.5-6.6",29740,30112.94
"6.6-6.7",36666,37514.07
"6.7-6.8",41931,42994.35
"6.8-6.9",36811,37603.59
"6.9-7",32317,32461.92
"7-7.1",28977,29413.24
"7.1-7.2",41975,42568.08
"7.2-7.3",26158,26643.57
"7.3-7.4",25383,25689.84
"7.4-7.5",17643,17643
"7.5-7.6",16640,16643.64
"7.6-7.7",11634,11887.17
"7.7-7.8",9894,9958.89
"7.8-7.9",5898,5927.89
"7.9-8",8229,8229
"8-8.1",944,1005.48
"8.1-8.2",2582,2582
"8.2-8.3",276,489.51
"8.3-8.4",1048,1048
"8.4-8.5",1265,1265
"8.5-8.6",1795,1965.21
"8.6-8.7",1492,1492
"8.7-8.8",998,998
"8.8-8.9",385,430.66
"8.9-9",126,619.37
"9-9.1",NA,90.95
"9.1-9.2",NA,NA
"9.2-9.3",NA,NA
"9.3-9.4",172,172
"9.4-9.5",NA,NA
"9.5-9.6",78,78
"9.6-9.7",NA,NA
"9.7-9.8",NA,NA
"9.8-9.9",NA,42.24
"9.9-10",NA,NA
"10-10.1",NA,NA
"10.1-10.2",NA,NA
"10.2-10.3",NA,NA
"10.3-10.4",NA,NA
"10.4-10.5",NA,NA
"10.5-10.6",NA,NA
"10.6-10.7",NA,NA
"10.7-10.8",NA,NA
"10.8-10.9",NA,NA
"10.9-11",NA,NA
"11-11.1",NA,NA
"11.1-11.2",NA,NA
"11.2-11.3",NA,NA
"11.3-11.4",NA,NA
"11.4-11.5",NA,NA
"11.5-11.6",NA,NA
"11.6-11.7",NA,NA
