NIS,REGION,SEX,AGE,POPULATION,MORTALITY_TOTAL,MORTALITY_ATTR
21001,BR,F,"[0,5)",4619,6,0
21002,BR,F,"[0,5)",978,0,0
21003,BR,F,"[0,5)",941,0,0
21004,BR,F,"[0,5)",6421,4,0
21005,BR,F,"[0,5)",1435,0,0
21006,BR,F,"[0,5)",1460,0,0
21007,BR,F,"[0,5)",2083,4,0
21008,BR,F,"[0,5)",873,0,0
21009,BR,F,"[0,5)",2272,0,0
21010,BR,F,"[0,5)",1901,3,0
21011,BR,F,"[0,5)",892,0,0
21012,BR,F,"[0,5)",4074,5,0
21013,BR,F,"[0,5)",1501,3,0
21014,BR,F,"[0,5)",987,0,0
21015,BR,F,"[0,5)",5264,3,0
21016,BR,F,"[0,5)",2108,0,0
21017,BR,F,"[0,5)",649,1,0
21018,BR,F,"[0,5)",1559,0,0
21019,BR,F,"[0,5)",1152,0,0
11001,FL,F,"[0,5)",297,0,0
11002,FL,F,"[0,5)",17721,16,0
11004,FL,F,"[0,5)",308,0,0
11005,FL,F,"[0,5)",562,1,0
11007,FL,F,"[0,5)",320,0,0
11008,FL,F,"[0,5)",787,1,0
11009,FL,F,"[0,5)",699,1,0
11013,FL,F,"[0,5)",608,0,0
11016,FL,F,"[0,5)",501,0,0
11018,FL,F,"[0,5)",316,0,0
11021,FL,F,"[0,5)",178,0,0
11022,FL,F,"[0,5)",471,0,0
11023,FL,F,"[0,5)",565,1,0
11024,FL,F,"[0,5)",503,0,0
11025,FL,F,"[0,5)",183,1,0
11029,FL,F,"[0,5)",701,1,0
11030,FL,F,"[0,5)",332,0,0
11035,FL,F,"[0,5)",425,2,0
11037,FL,F,"[0,5)",318,0,0
11038,FL,F,"[0,5)",214,0,0
11039,FL,F,"[0,5)",375,0,0
11040,FL,F,"[0,5)",789,0,0
11044,FL,F,"[0,5)",420,0,0
11050,FL,F,"[0,5)",204,2,0
11052,FL,F,"[0,5)",316,0,0
11053,FL,F,"[0,5)",500,1,0
11054,FL,F,"[0,5)",309,0,0
11055,FL,F,"[0,5)",432,0,0
11056,FL,F,"[0,5)",469,0,0
11057,FL,F,"[0,5)",335,0,0
12002,FL,F,"[0,5)",254,0,0
12005,FL,F,"[0,5)",293,0,0
12007,FL,F,"[0,5)",423,0,0
12009,FL,F,"[0,5)",399,0,0
12014,FL,F,"[0,5)",907,2,0
12021,FL,F,"[0,5)",908,0,0
12025,FL,F,"[0,5)",2743,0,0
12026,FL,F,"[0,5)",539,1,0
12029,FL,F,"[0,5)",371,1,0
12035,FL,F,"[0,5)",494,0,0
12040,FL,F,"[0,5)",810,2,0
12041,FL,F,"[0,5)",600,0,0
13001,FL,F,"[0,5)",283,1,0
13002,FL,F,"[0,5)",51,0,0
13003,FL,F,"[0,5)",585,0,0
13004,FL,F,"[0,5)",449,1,0
13006,FL,F,"[0,5)",242,0,0
13008,FL,F,"[0,5)",894,2,0
13010,FL,F,"[0,5)",229,0,0
13011,FL,F,"[0,5)",619,0,0
13012,FL,F,"[0,5)",193,0,0
13013,FL,F,"[0,5)",282,0,0
13014,FL,F,"[0,5)",577,1,0
13016,FL,F,"[0,5)",244,0,0
13017,FL,F,"[0,5)",426,2,0
13019,FL,F,"[0,5)",376,0,0
13021,FL,F,"[0,5)",253,0,0
13023,FL,F,"[0,5)",216,0,0
13025,FL,F,"[0,5)",870,0,0
13029,FL,F,"[0,5)",299,0,0
13031,FL,F,"[0,5)",336,0,0
13035,FL,F,"[0,5)",384,0,0
13036,FL,F,"[0,5)",260,0,0
13037,FL,F,"[0,5)",328,1,0
13040,FL,F,"[0,5)",1238,0,0
13044,FL,F,"[0,5)",188,0,0
13046,FL,F,"[0,5)",282,0,0
13049,FL,F,"[0,5)",520,1,0
13053,FL,F,"[0,5)",362,0,0
23002,FL,F,"[0,5)",1019,0,0
23003,FL,F,"[0,5)",644,1,0
23009,FL,F,"[0,5)",42,1,0
23016,FL,F,"[0,5)",1185,0,0
23023,FL,F,"[0,5)",183,0,0
23024,FL,F,"[0,5)",196,0,0
23025,FL,F,"[0,5)",1077,0,0
23027,FL,F,"[0,5)",1106,0,0
23032,FL,F,"[0,5)",157,0,0
23033,FL,F,"[0,5)",306,0,0
23038,FL,F,"[0,5)",302,0,0
23039,FL,F,"[0,5)",216,0,0
23044,FL,F,"[0,5)",338,0,0
23045,FL,F,"[0,5)",489,2,0
23047,FL,F,"[0,5)",484,0,0
23050,FL,F,"[0,5)",478,0,0
23052,FL,F,"[0,5)",438,0,0
23060,FL,F,"[0,5)",395,1,0
23062,FL,F,"[0,5)",644,0,0
23064,FL,F,"[0,5)",95,0,0
23077,FL,F,"[0,5)",967,1,0
23081,FL,F,"[0,5)",326,1,0
23086,FL,F,"[0,5)",387,0,0
23088,FL,F,"[0,5)",1474,2,0
23094,FL,F,"[0,5)",995,1,0
23096,FL,F,"[0,5)",595,0,0
23097,FL,F,"[0,5)",274,0,0
23098,FL,F,"[0,5)",198,0,0
