Sequela Name,Health State Name,Health State Lay Description,Mean,Lower,Upper
HIV/AIDS -  Drug-susceptible Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.4084592042999993,0.273578943,0.549464505
HIV/AIDS -  Drug-susceptible Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.4106963603403607,0.27806277030604964,0.5506857393015835
HIV/AIDS -  Drug-susceptible Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.43866320998543734,0.3065456732123501,0.5772493679484925
HIV/AIDS -  Drug-susceptible Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.49482700365224924,0.352944567,0.6402024135809512
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.4084592042999993,0.273578943,0.549464505
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.4106963603403607,0.27806277030604964,0.5506857393015835
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.43866320998543734,0.3065456732123501,0.5772493679484925
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.49482700365224924,0.352944567,0.6402024135809512
HIV/AIDS - Extensively drug-resistant Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.4084592042999993,0.273578943,0.549464505
HIV/AIDS - Extensively drug-resistant Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.4106963603403607,0.27806277030604964,0.5506857393015835
HIV/AIDS - Extensively drug-resistant Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.43866320998543734,0.3065456732123501,0.5772493679484925
HIV/AIDS - Extensively drug-resistant Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.49482700365224924,0.352944567,0.6402024135809512
Symptomatic HIV without anemia,"HIV cases, symptomatic, pre-AIDS","has weight loss, fatigue, and frequent infections.",0.27447870490000065,0.18435854499999998,0.37709576250000004
AIDS without anemia,"AIDS cases, not receiving ARV treatment","has severe weight loss, weakness, fatigue, cough and fever, and frequent infections, skin rashes and diarrhea. ",0.5815900900000004,0.4055435,0.742605503
Early HIV without anemia,Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012440830799999992,0.006194748,0.022708943
Early HIV with mild anemia,"Anemia, mild; Generic uncomplicated disease anxiety",,0.016083330724259114,0.007595395,0.030998712879199503
Early HIV with moderate anemia,"Anemia, moderate; Generic uncomplicated disease anxiety",,0.063305862,0.039980345,0.094802634
Early HIV with severe anemia,"Anemia, severe; Generic uncomplicated disease anxiety",,0.15932514528591096,0.10850395436709401,0.22044928265000246
Symptomatic HIV with mild anemia,"HIV cases, symptomatic, pre-AIDS and anemia, mild",(combined DW),0.27718121817781244,0.1885033008323565,0.37914754894346925
Symptomatic HIV with moderate anemia,"HIV cases, symptomatic, pre-AIDS and anemia, moderate",(combined DW),0.3115853185096714,0.21665628873092116,0.4180340236232527
Symptomatic HIV with severe anemia,"HIV cases, symptomatic, pre-AIDS and anemia, severe",(combined DW),0.3811476240504045,0.26857990585767555,0.504582025
AIDS with mild anemia,"AIDS cases, not receiving ARV treatment and anemia, mild",(combined DW),0.5832162669649755,0.4091747382174809,0.7429764700391112
AIDS with moderate anemia,"AIDS cases, not receiving ARV treatment and anemia, moderate",(combined DW),0.6029126095246116,0.43024704008973896,0.7583127356256133
AIDS with severe anemia,"AIDS cases, not receiving ARV treatment and anemia, severe",(combined DW),0.6420190504532072,0.470049634,0.7921600937296155
HIV/AIDS with antiretroviral treatment without anemia,"HIV/AIDS cases, receiving ARV treatment",has occasional fevers and infections. The person takes daily medication that sometimes causes diarrhea.,0.078017329,0.05212429,0.11106665749999999
HIV/AIDS with antiretroviral treatment with mild anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, mild",(combined DW),0.081413316,0.054154643,0.11574105735539648
HIV/AIDS with antiretroviral treatment with moderate anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, moderate",(combined DW),0.12539263604668588,0.084764614,0.176414503
HIV/AIDS with antiretroviral treatment with severe anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, severe",(combined DW),0.2148186327019286,0.1481110574670234,0.29504815013240815
Asymptomatic congenital syphilis ,Asymptomatic,,0,0,0
"Early symptomatic congenital syphilis, infectious syndrome","Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
"Late symptomatic congenital syphilis, neurosyphilis","Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.20294601350000027,0.13394816,0.28958335
"Early symptomatic congenital syphilis, slight disfigurement","Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252399999999,0.005239763,0.020619542499999997
"Late symptomatic congenital syphilis, slight disfigurement","Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252399999999,0.005239763,0.020619542499999997
"Late symptomatic congenital syphilis, unilateral hearing loss","Hearing loss, unilateral","can hear well with one ear but has hearing loss in the other ear, resulting in some trouble following a conversation in a noisy environment",0.007986165,0.00359251,0.015490782500000001
Asymptomatic early syphilis infection,Asymptomatic,,0,0,0
Mild early syphilis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Asymptomatic adult tertiary syphilis,Asymptomatic,,0,0,0
Cardiovascular complications due to adult tertiary syphilis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe disfigurement due to adult tertiary syphilis,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.40479053700000034,0.274506378,0.545533435
Neurological problems due to adult tertiary syphilis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.20294601350000027,0.13394816,0.28958335
Neurological problems and cardiovascular complications due to adult tertiary syphilis,"Moderate motor plus cognitive impairments and moderate infectious disease, acute episode",(combined DW),0.24302714956393123,0.16800283090605625,0.33310621849768146
Severe disfigurement and cardiovascular complications due to adult tertiary syphilis,"Level 3 disfigurement and moderate infectious disease, acute episode",(combined DW),0.4346225717020275,0.30565248458631794,0.5713169658249093
Severe disfigurement and neurological problems due to adult tertiary syphilis,Level 3 disfigurement and moderate motor plus cognitive impairments,(combined DW),0.5232097489835387,0.378418767,0.669377133
"Severe disfigurement, neurological problems, and cardiovascular complications due to adult tertiary syphilis","Level 3 disfigurement, moderate motor plus cognitive impairments, and moderate infectious disease, acute episode",(combined DW),0.5469659490102426,0.4020574875608513,0.690747392
Asymptomatic chlamydial infection,Asymptomatic,,0,0,0
Mild chlamydial infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Epididymo-orchitis due to chlamydial infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.1281245327999997,0.086099005,0.18045061999999998
Primary infertility due to chlamydial infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.007564045,0.003335558,0.015242128
Secondary infertility due to chlamydial infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005145153,0.002002058,0.011025222499999997
