nis,sex,population,mortality_attr,region,pre_mort,cs,rank,geo_level,nis_age_prop10y0,nis_age_prop10y10,nis_age_prop10y20,nis_age_prop10y30,nis_age_prop10y40,nis_age_prop10y50,nis_age_prop10y60,nis_age_prop10y70,nis_age_prop10y80,nis_age_prop10y85,pre_mort_mean,sex_num,ridit_rank
24045,F,4251,.9601972997188568,FL,2.2587564,-4.16114,1,LAU,.10632811,.1198175,.09323547,.119024,.14024995,.14699465,.11763539,.083316803,.030946242,.042451896,2.0522196,F,.0507745266781411
11057,F,6583,1.069335788488388,FL,1.6243898,-3.8796113,1,LAU,.092609085,.11232667,.11054573,.1151253,.1274647,.15634143,.12301234,.085994147,.032438621,.044141967,2.0522196,F,.0507745266781411
24008,F,2603,.4680653661489487,FL,1.7981766,-4.2495732,1,LAU,.094382025,.09662921,.10914928,.13386838,.12969503,.15248796,.11942215,.084430173,.035955057,.04398074,2.0522196,F,.0507745266781411
23038,F,5196,.5287565067410469,FL,1.0176222,-4.9976025,1,LAU,.10976011,.11008873,.10729543,.12306934,.13473547,.15363128,.11518238,.077062108,.034505423,.034669735,2.0522196,F,.0507745266781411
12029,F,7455,.9929328039288521,FL,1.3319018,-3.8587387,1,LAU,.098353364,.099243432,.10525145,.11893636,.13351135,.15109034,.12305296,.094904318,.037049398,.038607031,2.0522196,F,.0507745266781411
23081,F,5217,.8707650601863861,FL,1.6690916,-4.0638537,1,LAU,.11170299,.11170299,.099757873,.11945117,.1409201,.1409201,.11767554,.086037129,.036319613,.035512511,2.0522196,F,.0507745266781411
24094,F,7187,.8331230953335762,FL,1.1592084,-5.2930698,1,LAU,.10521338,.10864168,.10651378,.12188202,.13193049,.15439177,.1210545,.078023404,.033455491,.038893487,2.0522196,F,.0507745266781411
23060,F,6272,.5373382270336151,FL,.85672551,-4.842371,1,LAU,.11429343,.11699541,.10997028,.12442583,.13523372,.13307214,.11334775,.083490945,.032558769,.036611728,2.0522196,F,.0507745266781411
23052,F,7102,.9414417147636414,FL,1.3256009,-5.7863331,1,LAU,.10512639,.10300024,.1172927,.12024569,.12957713,.14930309,.11433971,.087408461,.035435863,.038270731,2.0522196,F,.0507745266781411
11001,F,5776,.7343641966581345,FL,1.2714062,-4.46771,1,LAU,.088574208,.10134666,.093016796,.10537276,.12355963,.14952104,.14049701,.11814522,.039705679,.040261004,2.0522196,F,.0507745266781411
23086,F,6751,1.440385639667511,FL,2.1335886,-4.3780313,1,LAU,.10158493,.11219269,.10420567,.11768376,.13390741,.14888306,.12404842,.085610881,.034943216,.036939971,2.0522196,F,.0507745266781411
23102,F,7055,.9738886505365372,FL,1.3804233,-3.8486233,1,LAU,.11999529,.10845502,.1096326,.12187941,.13294865,.13024023,.10763071,.089260481,.033207726,.046749882,2.0522196,F,.0507745266781411
24043,F,4234,.1101894751191139,FL,.26024911,-5.2790666,1,LAU,.099720784,.11527722,.10251296,.11587555,.1358197,.15775828,.11747108,.084164336,.030714002,.040686078,2.0522196,F,.0507745266781411
23064,F,1880,.3978752866387367,FL,2.1163578,-4.7186794,1,LAU,.10066519,.11929046,.099778272,.10731708,.13082039,.15432373,.12150776,.076274946,.036363635,.053658538,2.0522196,F,.0507745266781411
13046,F,4803,.9669383764266968,FL,2.0131967,-4.5295706,1,LAU,.11255565,.10169189,.11469278,.12484417,.12324132,.15779163,.1205699,.084594838,.033837933,.026179876,2.0522196,F,.0507745266781411
