"LDEN_Cat","ANTALL_PER","average_cat","totpop","prop_pop_exp"
"43 - 44",2.528,43.5,263691,0.00000958697869855247
"44 - 45",2.528,44.5,263691,0.00000958697869855247
"45 - 46",4.1944,45.5,263691,0.0000159064966191489
"46 - 47",15.168,46.5,263691,0.0000575218721913148
"47 - 48",0,47.5,263691,0
"48 - 49",12.8166,48.5,263691,0.0000486046167673527
"49 - 50",2.7643,49.5,263691,0.0000104831033292756
"50 - 51",20.5772,50.5,263691,0.0000780352761376004
"51 - 52",20.2967,51.5,263691,0.0000769715310723536
"52 - 53",37.303,52.5,263691,0.000141464820566496
"53 - 54",3687.9948,53.5,263691,0.0139860473053688
"54 - 55",6852.5722,54.5,263691,0.0259871296327899
"55 - 56",6597.141,55.5,263691,0.0250184534170677
"56 - 57",6666.0558,56.5,263691,0.0252798002207129
"57 - 58",6752.92,57.5,263691,0.0256092168485083
"58 - 59",5973.6073,58.5,263691,0.0226538156402759
"59 - 60",5313.4668,59.5,263691,0.0201503532543773
"60 - 61",5700.019,60.5,263691,0.0216162819360539
"61 - 62",5210.2711,61.5,263691,0.0197590023929524
"62 - 63",4761.9161,62.5,263691,0.0180586978698552
"63 - 64",4380.2412,63.5,263691,0.0166112654584343
"64 - 65",3986.9132,64.5,263691,0.0151196407916842
"65 - 66",3612.4587,65.5,263691,0.0136995904297075
"66 - 67",3560.6893,66.5,263691,0.0135032644269239
"67 - 68",3043.4497,67.5,263691,0.0115417276281709
"68 - 69",1664.0754,68.5,263691,0.00631070229928211
"69 - 70",1537.0125,69.5,263691,0.00582883943706839
"70 - 71",1346.0741,70.5,263691,0.00510474039690395
"71 - 72",893.3408,71.5,263691,0.00338783196999518
"72 - 73",966.2991,72.5,263691,0.00366451300954526
"73 - 74",558.8057,73.5,263691,0.00211916864815257
"74 - 75",250.0659,74.5,263691,0.000948329294515171
"75 - 76",207.8185,75.5,263691,0.000788113739187155
"76 - 77",177.1394,76.5,263691,0.000671768850662328
"77 - 78",145.7708,77.5,263691,0.000552809159205282
"78 - 79",45.9986,78.5,263691,0.0001744412968209
"79 - 80",83.5514,79.5,263691,0.000316853438304682
"80 - 81",55.9924,80.5,263691,0.000212340959683872
"81 - 82",10.112,81.5,263691,0.0000383479147942099
"82 - 83",7.584,82.5,263691,0.0000287609360956574
"83 - 84",2.528,83.5,263691,0.00000958697869855247
